model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,0,3,4,0.25,0.05,517901,375835,142066,9823,11503,9939,12186,38,12,false,2,3,7,3
NS,0,3,4,0.25,0.05,514467,375629,138838,9838,11178,9945,11856,38,12,false,3,3,7,3
NS,0,3,4,0.25,0.05,517948,375530,142418,9809,11668,9932,12012,38,12,false,4,3,7,3
NS,1,3,8,0.25,0.05,522148,371713,150435,9680,11720,9847,13429,38,12,false,0,3,7,3
NS,1,3,8,0.25,0.05,532389,374759,157630,9745,12492,9923,14422,38,12,false,1,3,7,3
NS,1,3,8,0.25,0.05,530927,374006,156921,9643,12702,9945,13563,38,12,false,2,3,7,3
NS,1,3,8,0.25,0.05,529636,374279,155357,9659,12050,9953,13719,38,12,false,3,3,7,3
NS,1,3,8,0.25,0.05,538221,374380,163841,9753,12422,9935,14854,38,12,false,4,3,7,3
NS,0,3,8,0.25,0.05,512204,375335,136869,9836,11053,9918,11886,38,12,false,0,3,7,3
NS,0,3,8,0.25,0.05,513554,375613,137941,9792,10769,9947,12355,38,12,false,1,3,7,3
NS,0,3,8,0.25,0.05,509190,375629,133561,9818,10527,9935,12351,38,12,false,2,3,7,3
NS,0,3,8,0.25,0.05,516661,375746,140915,9800,11290,9953,12276,38,12,false,3,3,7,3
NS,0,3,8,0.25,0.05,520759,375753,145006,9809,11635,9952,12452,38,12,false,4,3,7,3
NS,1,3,11,0.25,0.05,526364,371792,154572,9650,12199,9871,13731,38,12,false,0,3,7,3
NS,1,3,11,0.25,0.05,518579,374305,144274,9662,11230,9946,12924,38,12,false,1,3,7,3
NS,1,3,11,0.25,0.05,519601,373124,146477,9713,11688,9927,12690,38,12,false,2,3,7,3
NS,1,3,11,0.25,0.05,517162,372940,144222,9574,11439,9917,12699,38,12,false,3,3,7,3
NS,1,3,11,0.25,0.05,530393,373794,156599,9725,11997,9918,14373,38,12,false,4,3,7,3
NS,0,3,11,0.25,0.05,515387,375935,139452,9807,11352,9947,11909,38,12,false,0,3,7,3
NS,0,3,11,0.25,0.05,511930,375364,136566,9792,10980,9954,11785,38,12,false,1,3,7,3
NS,0,3,11,0.25,0.05,502830,375657,127173,9827,10193,9941,11016,38,12,false,2,3,7,3
NS,0,3,11,0.25,0.05,505958,375768,130190,9808,10599,9941,11528,38,12,false,3,3,7,3
NS,0,3,11,0.25,0.05,510894,375614,135280,9824,10921,9944,11636,38,12,false,4,3,7,3
